aankondiger	'aN-kOn-d@-G@r
brandweercommandant	'brAnd-wer-kO-mAn-dAnt
brandweerman	'brAnd-wer-mAn
brigadier	bri-Ga-'dir
buikspreker	'bY+k-spre-k@r
bureauredacteur	by-'ro-re-dAk-t2r
burgemeester	bYr-G@-'mes-t@r
burgerschap	'bYr-G@r-sxAp
buschauffeur	'bY-So-f2r
butler	'bYt-l@r
cabaretier	ka-ba-rE-'tje
calculator	kAl-ky-'la-tOr
callgirl	'kOl-GYrl
cardioloog	kAr-di-jo-'lox
cargadoor	kAr-Ga-'dor
cartograaf	kAr-to-'Graf
cartoonist	kAr-tu-'nIst
cellist	sE-'lIst
chauffeur	So-'f2r
chef	'SEf
chemicus	'xe-mi-kYs
chiropodist	xi-ro-po-'dIst
chiropodist	xi-ro-po-'dIst
chirurg	Si-'rYrx
chocolatier	So-ko-la-'tje
choreograaf	xo-re-jo-'Graf
cineast	si-ne-'jAst
cipier	si-'pir
circusartiest	'sIr-kYs-Ar-tist
circusdirecteur	'sIr-kYz-di-rEk-t2r
classicus	'klA-si-kYs
clown	'klA+n
coach	'kotS
codeur	ko-'d2r
colporteur	kOl-pOr-'t2r
columnist	kO-l@m-'nIst
commentator	kO-mEn-'ta-tOr
commissaris	kO-mI-'sa-r@s
commissionair	kO-mI-So-'nE:r
communicatieadviseur	kO-my-ni-'kat-si-jAt-fi-z2r
componist	kOm-po-'nIst
conducteur	kOn-dYk-'t2r
conservator	kOn-z@r-'va-tOr
constructeur	kOn-strYk-'t2r
constructiebankwerker	kOn-'strYk-si-bANk-wEr-k@r
consulent	kOn-zy-'lEnt
consultant	k@n-'sYl-t@nt
controleur	kOn-tro-'l2r
controller	kOn-'tro-l@r
copywriter	'kO-pi-rAj-t@r
corrector	kO-'rEk-tOr
correspondent	kO-r@-spOn-'dEnt
counselor	'kA+n-s@-l@r
coupeur	ku-'p2r
criminoloog	kri-mi-no-'lox
crisismanager	kri-sIs-ma-'na-G@r
criticus	'kri-ti-kYs
croupier	kru-'pje
cultuurtechnicus	kYl-'tyr-'tEx-ni-kYs
curator	ky-'ra-tOr
cursusleider	'kYr-zYs-lE+-d@r
dakdekker	'dAg-dE-k@r
danser	dA~n-'se
dansleraar	'dAns-le-rar
debitant	de-bi-'tAnt
decaan	de-'kan
declarant	de-kla-'rAnt
decoratieschilder	de-ko-'ra-tsi-sxIl-d@r
decorontwerper	de-ko-'rOnt-wEr-p@r
demonstrateur	de-mOn-stra-'t2r
dermatoloog	dEr-ma-to-'lox
deskundige	dEs-'kYn-d@-G@
detailhandelaar	de-'tAj-hAn-d@-lar
detective	de-tEk-'ti-v@
deurwaarder	'd2r-war-d@r
di&euml;tist	di-je-'tIst
dichter	'dIx-t@r
dieetkok	di-'jet-kOk
dienstbode	'dinzd-bo-d@
dierenarts	'di-r@-Arts
diplomaat	di-plo-'mat
directeur	di-rEk-'t2r
directiesecretaresse	di-'rEk-si-se-kr@-ta-rE-s@
dirigent	di-ri-'GEnt
diskjockey	'dizg-djO-ki
docent	do-'sEnt
documentairemaker	do-ky-mEn-'tE:-r@-ma-k@r
documentalist	do-ky-mEn-ta-'lIst
dokmeester	'dOk-mes-t@r
dominee	'do-mi-ne
doodgraver	'dot-xra-v@r
douaneambtenaar	du-'wa-n@-Am-t@-nar
douanier	du-wa-'nir
draaier	'dra-j@r
drogist	dro-'GIst
drukker	'drY-k@r
drummer	'drY-m@r
duiker	'dY+-k@r
ecoloog	e-ko-'lox
econoom	e-ko-'nom
edelsmid	'e-d@l-smIt
editor	'E-dI-t@r
egyptoloog	e-GIp-to-'lox
eindredacteur	'E+nt-re-dAk-t2r
elektricien	e-lEk-tri-'SE~
elektromonteur	e-'lEk-tro-mOn-t2r
elektronicus	e-lEk-'tro-ni-kYs
elektrotechnicus	e-lEk-tro-'tEx-ni-kYs
encyclopedist	En-si-klo-p@-'dIst
ergotherapeut	'Er-Go-te-ra-'pY+t
essayeur	E-se-'j2r
essayist	E-se-'jIst
etaleur	e-ta-'l2r
etnograaf	Et-no-'Graf
etnoloog	Et-no-'lox
etymoloog	e-ti-mo-'lox
eurocommissaris	'2-ro-kO-mI-sa-r@s
evangelist	e-vAN-G@-'lIst
examinator	Ek-sa-mi-'na-tOr
expediteur	Eks-pe-di-'t2r
fabrikant	fA-bri-'kAnt
facturist	fAk-ty-'rIst
farmacoloog	fAr-ma-ko-'lox
fietsenmaker	'fit-s@-ma-k@r
fijnbankwerker	'fE+m-bANk-wEr-k@r
filiaalhouder	fi-li-'jal-hA+-d@r
filmer	'fIl-m@r
filmregisseur	'fIlm-re-GI-s2r
filosoof	fi-lo-'sof
fotograaf	fo-to-'Graf
fotojournalist	'fo-to-Zur-na-lIst
fruitteler	'frY+-te-l@r
fysicus	'fi-si-kYs
fysioloog	fi-zi-jo-'lox
fysiotherapeut	'fi-zi-jo-te-ra-p2t
galeriehouder	xa-l@-'ri-hA+-d@r
garagehouder	xa-'ra-Z@-hA+-d@r
garderobejuffrouw	xAr-d@-'ro-b@-jY-frA+w
gastouder	'xAst-A+-d@r
gecommitteerde	x@-kO-mI-'ter-d@
gedeputeerde	x@-de-py-'ter-d@
gedragstherapeut	x@-'drAxs-te-ra-pY+t
gedragswetenschapper	x@-'drAxs-we-t@-sxA-p@r
gemeentesecretaris	x@-'men-t@-se-kr@-ta-r@s
geneeskundige	x@-nes-'kYn-d@-G@
generaal	xe-n@-'ral
geodeet	xe-jo-'det
geograaf	xe-jo-'Graf
geoloog	xe-jo-'lox
gerant	Ze-'rAnt
gerechtsdeurwaarder	x@-'rEGdz-d2r-war-d@r
gerechtssecretaris	x@-'rExt-se-kr@-ta-r@s
gereedschapsmaker	x@-'ret-sxAps-ma-k@r
geschiedkundige	x@-sxit-'kYn-d@-G@
gevangenbewaarder	x@-'vA-N@-b@-war-d@r
gezaghebber	x@-'zAx-hE-b@r
gezagvoerder	x@-'zAx-fur-d@r
gezinsvoogd	x@-'zIns-foxt
gigolo	'Zi-go-lo
gitarist	xi-ta-'rIst
glasblazer	'xlAz-bla-z@r
glasslijper	'xlA-slE+-p@r
glaszetter	'xlA-sE-t@r
glazenhaler	'xla-z@-ha-l@r
glazenier	xla-z@-'nir
glazenmaker	'xla-z@-ma-k@r
glazenwasser	'xla-z@-wA-s@r
goederen	'xu-d@-r@
goochelaar	'xo-x@-lar
goudsmid	'xA+t-smIt
goudzoeker	'xA+t-su-k@r
grafdelver	'xrAv-dEl-v@r
graficus	'xra-fi-kYs
grafoloog	xra-fo-'lox
graveur	xra-'v2r
griffier	xrI-'fir
grimeur	xri-'m2r
groepsleider	'xrups-lE+-d@r
grondstewardess	'xrOnt-stju-wAr-dEs
grondwerker	'xrOnd-wEr-k@r
groothandelaar	'xrot-hAn-d@-lar
gymleraar	'xIm-l@-rar
gynaecoloog	xi-ne-ko-'lox
handelaar	'hAn-d@-lar
handelscorrespondent	'hAn-d@ls-kO-r@s-pOn-dEnt
handlezer	'hAnd-le-z@r
handwever	'hAnd-we-v@r
havenarbeider	'ha-v@n-Ar-bE+-d@r
havenmeester	'ha-v@n-mes-t@r
headhunter	'hEd-hYn-t@r
heemraad	'hem-rat
heibaas	'hE+-bas
heier	'hE+-j@r
heilsoldaat	'hE+l-sOl-dat
helikopterpiloot	he-li-'kOp-t@r-pi-lot
helpdeskmedewerker	'hElb-dEsk-me-d@-wEr-k@r
herbergier	hEr-bEr-'Gir
historicus	his-'to-ri-kYs
hoefsmid	'huf-smIt
hoekman	'huk-mAn
hofmeester	'hOf-mes-t@r
homeopaat	ho-me-jo-'pat
hondentrimmer	hOn-d@-'trI-m@r
hoofd	'hoft
hoofdambtenaar	'hovd-Am-t@-nar
hoofdcommissaris	'hoft-kO-mI-sa-r@s
hoofdinspecteur	'hovd-In-spEk-t2r
hoofdredacteur	'hovd-re-dAk-t2r
hoofdverpleegkundige	'hoft-f@r-plex-kYn-d@-G@
hoogleraar	hoG-'le-rar
horlogemaker	hOr-'lo-Z@-ma-k@r
hostess	'hos-t@s
hotelier	ho-t@l-'je
hotelketen	ho-'tEl-ke-t@
hotelportier	ho-'tEl-pOr-tir
houtbewerker	'hA+d-b@-wEr-k@r
houtsnijder	'hA+t-snE+-d@r
houtvester	'hA+t-fEs-t@r
hovenier	ho-v@-'nir
huisarts	'hY+s-Arts
huisbaas	'hY+z-bas
huisbewaarder	'hY+z-b@-war-d@r
huishoudhulp	'hY+s-hA+t-hYlp
huishoudster	'hY+s-hA+t-st@r
huisschilder	'hY+-sxIl-d@r
hulpkok	'hYlp-kOk
huurmoordenaar	'hyr-mor-d@-nar
hydrograaf	hi-dro-'Graf
hydroloog	hi-dro-'lox
ijscoman	'E+s-ko-mAn
ijzervlechter	'E+-z@r-vlEx-t@r
illusionist	I-ly-Zo-'nIst
illustrator	I-ly-'stra-tOr
imam	i-'mAm
imker	'Im-k@r
importeur	Im-pOr-'t2r
impresario	Im-prE-'sa-ri-jo
incasseerder	IN-kA-'ser-d@r
informatieanalist	In-fOr-'ma-tsi-a-na-lIst
ingenieur	In-Z@-'J2r
inkoper	'IN-ko-p@r
inrichtingswerker	'In-rIx-tINs-wEr-k@r
inspecteur	In-spEk-'t2r
installateur	In-stA-la-'t2r
instructeur	In-strYk-'t2r
instrumentalist	In-stry-mEn-ta-'lIst
instrumentmaker	In-stry-'mEnt-ma-k@r
intercedent	In-t@r-s@-'dEnt
interieurverzorger	In-t@-ri-'j2r-v@r-zOr-G@r
internist	In-tEr-'nIst
interviewer	In-t@r-'vju-w@r
jachtopzichter	'jAxt-Op-sIx-t@r
jager	'ja-G@r
jongleur	jON-'l2r
journalist	Zur-na-'lIst
juwelier	jy-w@-'lir
kaasmaker	'kas-ma-k@r
kantonnier	kAn-tO-'nir
kapitein	kA-pi-'tE+n
kapper	'kA-p@r
kardinaal	kAr-di-'nal
kassier	kA-'sir
keizer	'kE+-z@r
kelner	'kEl-n@r
keramist	ke-ra-'mIst
kermisexploitant	'kEr-mIs-Eks-plwA-tAnt
kerstman	'kErst-mAn
keukenhulp	'k2-k@n-hYlp
keurder	'k2r-d@r
keurmeester	'k2r-mes-t@r
kleermaker	'kler-ma-k@r
kleinhandelaar	'klE+n-hAn-d@-lar
kleinkunstenaar	'klE+N-kYn-st@-nar
klerk	'klErk
kleuterleidster	'kl2-t@r-lE+t-st@r
klimatoloog	kli-ma-to-'lox
klokkenmaker	'klO-k@-ma-k@r
klompenmaker	'klOm-p@-ma-k@r
kloosterling	'klos-t@r-lIN
kno-arts	ka-E-'no-Arts
koerier	ku-'rir
kok	'kOk
komiek	ko-'mik
kompel	'kOm-p@l
koordirigent	'kor-di-ri-GEnt
koperslager	'ko-p@r-sla-G@r
koster	'kOs-t@r
kraamhulp	'kram-hYlp
kraanmachinist	'kra-mA-Si-nIst
kruidendokter	'krY+-d@-dOk-t@r
kruier	'krY+-j@r
kuiper	'kY+-p@r
kunstcriticus	'kYnst-kri-ti-kYs
kunstenaar	'kYn-st@-nar
kunstschilder	'kYnst-sxIl-d@r
kustlichtwachter	'kYst-lIxt-wAx-t@r
kwartiermaker	kwAr-'tir-ma-k@r
kwitantieloper	kwi-'tAn-si-lo-p@r
laborant	la-bo-'rAnt
laboratoriumtechnicus	la-bo-ra-'to-ri-jYm-tEx-ni-kYs
lader	'la-d@r
ladingmeester	'la-dIN-mes-t@r
lakei	la-'kE+
landarbeider	'lAnd-Ar-bE+-d@r
landbouwer	'lAnd-bA+-w@r
landbouwkundige	'lAnd-bA+w-kYn-d@-G@
landmeter	'lAnd-me-t@r
landschapsarchitect	'lAnt-sxAps-Ar-Si-tEkt
landschapsbeheer	'lAnt-sxAbz-b@-her
lasser	'lA-s@r
lector	'lEk-tOr
leerkracht	'ler-krAxt
leerplichtambtenaar	'ler-plIx-tAm-t@-nar
leeuwentemmer	'le-w@-tE-m@r
leidekker	'lE+-dE-k@r
leidinggevende	'lE+-dIN-Ge-v@n-d@
leraar	'le-rar
letterkundige	lE-t@r-'kYn-d@-G@
leurder	'l2r-d@r
lichtmatroos	'lIxt-mA-tros
lijstenmaker	'lE+s-t@-ma-k@r
linktrainer	'lINk-tre-n@r
literator	li-t@-'ra-tOr
literatuurcriticus	li-t@-ra-'tyr-kri-ti-kYs
logopedist	lo-Go-pe-'dIst
lokettist	lo-kE-'tIst
loodgieter	'lot-xi-t@r
loods	'lots
loonadministrateur	'lon-Ad-mi-ni-stra-t2r
loopbaan	'lo-ban
losser	'lO-s@r
luchtverkeersleider	'lYxt-f@r-kers-lE+-d@r
machinebankwerker	mA-Si-n@-'bANk-wEr-k@r
machinist	mA-Si-'nIst
magazijnbediende	mA-Ga-'zE+m-b@-din-d@
magnetiseur	mAG-ne-t@-'s2r
makelaar	'ma-k@-lar
managementassistent	ma-na-Ge-m@n-tA-sIs-'tEnt
manager	'mE-n@-dZ@r
mandenmaker	'mAn-d@-ma-k@r
manegehouder	ma-'ne-Z@-hA+-d@r
mannequin	mA-n@-'kE~
marconist	mAr-ko-'nIst
marechaussee	ma-r@-So-'se
marinier	ma-ri-'nir
marktkoopman	'mArkt-kop-mAn
marktonderzoeker	'mArk-tOn-d@r-zu-k@r
masseur	mA-'s2r
mathematicus	ma-te-'ma-ti-kYs
matroos	mA-'tros
mattenmaker	'mA-t@-ma-k@r
medewerker	'me-d@-wEr-k@r
mediaplanner	'me-di-ja-plE-n@r
melkboer	'mElg-bur
metaal	me-'tal
metaalbewerker	me-'tal-b@-wEr-k@r
metaalgieter	me-'tal-Gi-t@r
metaalkundige	me-'tal-kYn-d@-G@
meteoroloog	me-te-jo-ro-'lox
meteropnemer	'me-t@r-Op-ne-m@r
metselaar	'mEt-s@-lar
meubelmaker	'm2-b@l-ma-k@r
meubelstoffeerder	'm2-b@l-stO-fer-d@r
microbioloog	'mi-kro-bi-jo-lox
middenstander	'mI-d@-stAn-d@r
mijnbouwkundige	mE+m-bA+w-'kYn-d@-G@
mijnwerker	'mE+n-wEr-k@r
milieudeskundige	mi-'lj2-dEs-kYn-d@-G@
militair	mi-li-'tE:r
mimespeler	'mi-m@-spe-l@r
min	'mIn
minister	mi-'nIs-t@r
model	'mO-d@l
modelnaaister	mo-'dEl-naj-st@r
modeontwerper	mo-de-'jOnt-wEr-p@r
molenaar	'mo-l@-nar
monnik	'mO-n@k
monteur	mOn-'t2r
mosselman	'mO-s@l-mAn
munter	'mYn-t@r
muntmeester	'mYnt-mes-t@r
museumconservator	my-'ze-jYm-kOn-z@r-va-tOr
museumdirecteur	my-'ze-jYm-di-rEk-t2r
museummedewerker	my-'s2-me-d@-wEr-k@r
musicus	'my-zi-kYs
muziekrecensent	my-'zik-r@-sEn-sEnt
naaister	'naj-st@r
nachtwaker	'nAxt-wa-k@r
natuurkundige	na-tyr-'kYn-d@-G@
navigator	na-vi-'Ga-tOr
nettenboeter	'nE-t@-bu-t@r
netwerkbeheerder	nEt-w@rg-b@-'her-d@r
neuroloog	n2-ro-'lox
nieuwslezer	'niws-le-z@r
nijverheidsconsulent	'nE+-v@r-hE+ts-kOn-zy-lEnt
notaris	no-'ta-r@s
notarisklerk	no-'ta-r@s-klErk
ober	'o-b@r
oberkelner	'o-b@r-kEl-n@r
octrooigemachtigde	Ok-'troj-G@-mAx-t@G-d@
oefentherapeut	'u-f@n-te-ra-p2t
officier	O-fi-'sir
olieslager	'o-li-sla-G@r
omroeper	'Om-ru-p@r
oncoloog	ON-ko-'lox
onderhoudsmonteur	'On-d@r-hA+ts-mOn-t2r
ondernemer	On-d@r-'ne-m@r
onderofficier	'On-d@r-O-fi-sir
ondersteunende	On-d@r-'st2-n@n-d@
onderwijsassistent	On-d@r-wE+-sA-sIs-'tEnt
onderwijzer	On-d@r-'wE+-z@r
onderzoeker	On-d@r-'zu-k@r
ontdekkingsreiziger	On-'dE-kINs-rE+-z@-G@r
ontwerper	Ont-'wEr-p@r
oogarts	'oG-Arts
operateur	o-p@-ra-'t2r
operator	o-p@-'ra-tOr
opkoper	'Op-ko-p@r
opperman	'O-p@r-mAn
opsporingsambtenaar	'Op-spo-rINs-Am-t@-nar
opticien	Op-ti-'SE~
opzichter	'Op-sIx-t@r
organist	Or-Ga-'nIst
ornitholoog	Or-ni-to-'lox
orthodontist	Or-to-dOn-'tIst
orthopedagoog	'Or-to-pe-da-'Gox
orthopeed	Or-to-'pet
osteopaat	Os-te-jo-'pat
paardenfokker	'par-d@-fO-k@r
paardenfysiotherapeut	'par-d@n-fi-si-jo-t@-ra-p2t
paleontoloog	pa-le-jOn-to-'lox
palfrenier	pAl-fr@-'nir
pandjesbaas	'pAnt-j@z-bas
parkeerwachter	pAr-'ker-wAx-t@r
parketwacht	pAr-'kEt-wAxt
pastoor	pAs-'tor
patholoog	pA-to-'lox
patholoog-anatoom	pA-to-lox-a-na-'tom
paus	'pA+s
pedagoog	pe-da-'Gox
pedicure	pe-di-'ky-r@
perronopzichter	'pE-ro-nOp-sIx-t@r
perser	'pEr-s@r
personeelsfunctionaris	pEr-so-'nels-fYNk-So-na-r@s
persvoorlichter	'pErs-for-lIx-t@r
pianist	pi-ja-'nIst
pianostemmer	pi-'ja-no-stE-m@r
piccolo	'pi-ko-lo
pijpfitter	'pE+p-fI-t@r
pikeur	pi-'k2r
piloot	pi-'lot
plaatwerker	'plat-wEr-k@r
planner	'plE-n@r
planoloog	pla-no-'lox
podoloog	po-do-'lox
poelier	pu-'lir
poetser	'put-s@r
politicus	po-'li-ti-kYs
politie-inspecteur	po-'li-tsi-In-spEk-t2r
politieagent	po-'li-tsi-a-GEnt
politiecommissaris	po-'li-tsi-kO-mI-sa-r@s
politierechter	po-'li-tsi-rEx-t@r
pooier	'po-j@r
popmuzikant	'pOp-my-zi-kAnt
porder	'pOr-d@r
portier	pOr-'tir
portretfotograaf	'pOr-trEt-fo-tO-Graf
postbesteller	'pOsd-b@-stE-l@r
postbode	'pOzd-bo-d@
postcommandant	'pOst-kO-mAn-dAnt
pottenbakker	'pO-t@-bA-k@r
predikant	pre-di-'kAnt
premiejager	'pre-mi-ja-G@r
premier	pr@-'mje
presentator	pre-zEn-'ta-tOr
president	'prE-zI-d@nt
priester	'pris-t@r
probleemanalist	pro-'blem-a-na-lIst
procesmanager	'pro-s@s-ma-na-G@r
procesoperator	pro-'sEs-o-p@-ra-tOr
procestechnoloog	'pro-s@s-tEx-no-lox
procureur	pro-ky-'r2r
producer	pro-'dju-s@r
productieleider	pro-'dYk-si-lE+-d@r
productmanager	pro-'dYkt-ma-na-G@r
professor	pro-'fE-sOr
programmamaker	pro-'GrA-ma-ma-k@r
programmeur	pro-GrA-'m2r
projectleider	pro-'jEkt-lE+-d@r
projectmanager	pro-'jEkt-mE-n@-Z@r
projectontwikkelaar	pro-'jEkt-Ont-wI-k@-lar
promovendus	pro-mo-'vEn-dYs
prostituee	prOs-ti-ty-'we
pruikenmaker	'prY+-k@-ma-k@r
psychiater	psi-xi-'ja-t@r
psycholoog	psi-xo-'lox
psychotherapeut	psi-xo-te-ra-'p2t
purser	'pYr-s@r
putjesschepper	'pYt-j@-sxE-p@r
quizmaster	'kwIz-mAs-t@r
raadsman	'rats-mAn
radarwaarnemer	'ra-dAr-war-ne-m@r
radiotechnicus	'ra-di-jo-tEx-ni-kYs
radiotelegrafist	'ra-di-jo-te-l@-Gra-fIst
rangeerder	rAn-'Zer-d@r
recensent	r@-sEn-'sEnt
receptionist	r@-sEp-So-'nIst
rechercheur	re-SEr-'S2r
rechter	'rEx-t@r
reclamedeskundige	r@-'kla-m@-dEs-kYn-d@-G@
reclametekenaar	r@-'kla-m@-te-k@-nar
redacteur	re-dAk-'t2r
redactiechef	r@-'dAk-si-SEf
regisseur	re-GI-'s2r
registeraccountant	r@-'GIs-t@r-A-kA+n-t@nt
reisleider	'rE+s-lE+-d@r
rekenaar	're-k@-nar
relatiebeheerder	r@-lat-si-b@-'her-d@r
rentmeester	'rEnt-mes-t@r
reparateur	re-pa-ra-'t2r
repetitor	re-p@-'ti-tOr
restauranthouder	rEs-to-rAn-'tA+-d@r
ridder	'rI-d@r
rijwielhersteller	'rE+-wil-hEr-stE-l@r
ruimtevaarder	'rY+m-t@-var-d@r
salesmanager	'selz-mE-n@-dZ@r
samensteller	'sa-m@n-stE-l@r
saxofonist	sAk-so-fo-'nIst
scenarioschrijver	s@-'na-ri-jo-sxrE+-v@r
schaapherder	'sxap-hEr-d@r
schadecorrespondent	'sxa-d@-kO-r@-spOn-dEnt
schaker	'sxa-k@r
schapenscheerder	'sxa-p@-sxer-d@r
scharensliep	'sxa-r@-slip
scheepskapitein	'sxeps-kA-pi-tE+n
scheepskok	'sxeps-kOk
scheepstimmerman	'sxeps-tI-m@r-mAn
scheidsrechter	'sxE+ts-rEx-t@r
scheikundige	sxE+-'kYn-d@-G@
schillenboer	'sxI-l@-bur
schipper	'sxI-p@r
schoenmaker	'sxun-ma-k@r
scholen	'sxo-l@
schoolbegeleider	'sxol-b@-G@-lE+-d@r
schooldecaan	'sxol-de-kan
schooldirecteur	'sxol-di-rEk-t2r
schoolinspecteur	'sxol-In-spEk-t2r
schoonheidsspecialiste	'sxon-hE+t-spe-Sa-lIs-t@
schoonmaker	'sxon-ma-k@r
schoorsteenveger	'sxor-sten-ve-G@r
schotter	'sxO-t@r
schrijver	'sxrE+-v@r
schuurder	'sxyr-d@r
secretaresse	se-kr@-ta-'rE-s@
secretaris	se-kr@-'ta-r@s
seismoloog	'sE+s-mo-lox
seizoenarbeider	sE+-'zun-Ar-bE+-d@r
sergeant	sEr-'ZAnt
serveerster	sEr-'ver-st@r
sigarenmaker	si-'Ga-r@-ma-k@r
singer-songwriter	'sI-N@r-'sONw-ri-t@r
sinoloog	si-no-'lox
sjouwer	'SA+-w@r
slachter	'slAx-t@r
slager	'sla-G@r
slagwerker	'slAG-wEr-k@r
slijter	'slE+-t@r
sloper	'slo-p@r
sluiswachter	'slY+s-wAx-t@r
smeerder	'smer-d@r
smelter	'smEl-t@r
smid	'smIt
sneltekenaar	'snEl-te-k@-nar
snijder	'snE+-d@r
sociotherapeut	'so-So-te-ra-p2t
soldaat	sOl-'dat
soldeerder	sOl-'der-d@r
souschef	'su-SEf
specialist	spe-Sa-'lIst
speleoloog	spe-le-jo-'lox
speltherapeut	'spEl-te-ra-p2t
spion	spi-'jOn
spoeler	'spu-l@r
sportinstructeur	spOr-tIns-trYk-'t2r
staalconstructeur	stal-kOns-trYk-'t2r
stadsomroeper	'stAts-Om-ru-p@r
stationschef	stA-'tSOn-SEf
statisticus	sta-'tIs-ti-kYs
stedenbouwkundige	ste-d@-bA+w-'kYn-d@-G@
steenhouwer	'sten-hA+-w@r
steenzetter	'sten-zE-t@r
stenotypist	'ste-no-ti-pIst
steward	'stju-w@rt
stewardess	stju-wAr-'dEs
