's-gravendeel	sxra-v@n-'del
gameren	'xa-m@-r@
garderen	'xAr-d@-r@
gassel	'xA-s@l
gasselternijveen	'xA-s@l-t@r-'nE+-ven
geertruidenberg	xer-trY+-d@m-'bErx
geesteren	'xes-t@-r@
geffen	'xE-f@
gelderland	'xEl-d@r-lAnt
geldermalsen	xEl-d@r-'mAl-s@
geldrop	'xEl-drOp
geleen	x@-'len
gemert	'xe-m@rt
gemert-bakel	'xe-m@rd-'ba-k@l
genderen	'xEn-d@-r@
gendringen	'xEn-drI-N@
gendt	'xEnt
genemuiden	xe-n@-'mY+-d@
gennep	'xE-n@p
gerwen	'xEr-w@
gestel	x@-'stEl
giekerk	'xi-kErk
giessenburg	'xi-s@m-bYrx
giessenlanden	'xi-s@-lAn-d@
gieten	'xi-t@
gilze	'xIl-z@
glanerbrug	xla-n@r-'brYx
glimmen	'xlI-m@
goeree-overflakkee	xu-'re-'o-v@r-flA-ke
goes	'xus
goirle	'xor-l@
goor	'xor
gorinchem	'xOr-k@m
gorredijk	xO-r@-'dE+k
gouda	'xA+-da
gouderak	'xA+-d@-rAk
goudswaard	'xA+t-swart
goutum	'xA+-tYm
grave	'xra-v@
grijpskerk	'xrE+ps-kErk
groenlo	'xrun-lo
groesbeek	'xruz-bek
groessen	'xru-s@
groningen	'xro-nI-N@
gronsveld	'xrOns-fElt
groot-ammers	xrot-'A-m@rs
grootebroek	'xro-t@-bruk
grootegast	'xro-t@-GAst
grootschermer	xrot-'sxEr-m@r
grubbenvorst	'xrY-b@-vOrst
gulpen	'xYl-p@
gulpen-wittem	'xYl-p@-'wI-t@m
guttecoven	'xY-t@-ko-v@
haaften	'haf-t@
haaksbergen	'hagz-bEr-G@
haaren	'ha-r@n
haarlem	'har-lEm
haarlemmermeer	'har-lE-m@r-'mer
haastrecht	'has-trExt
haelen	'ha-l@
halderberge	'hAl-d@r-bEr-G@
halfweg	hAlf-'wEx
hallum	'hA-lYm
halsteren	'hAl-st@-r@
hank	'hANk
haps	'hAps
harbrinkhoek	hAr-brINk-'huk
hardegarijp	hAr-d@-Ga-'rE+p
hardenberg	'hAr-d@m-bErx
harderwijk	hAr-d@r-'wE+k
hardinxveld-giessendam	'hAr-dINks-fElt-xi-s@-'dAm
haren	'ha-r@
harkema	'hAr-k@-ma
harkstede	'hArk-ste-d@
harlingen	'hAr-lI-N@
harmelen	'hAr-m@-l@
hasselt	'hA-s@lt
hattem	'hA-t@m
haulerwijk	hA+-l@r-'wE+k
havelte	'ha-v@l-t@
haven	'ha-v@
hedel	'he-d@l
heel	'hel
heemskerk	'hems-kErk
heemstede	'hem-ste-d@
heenvliet	'hen-vlit
heerde	'her-d@
heerenveen	he-r@-'ven
heerhugowaard	'her-hy-Go-'wart
heerjansdam	her-jAnz-'dAm
heerlen	'her-l@
heesch	'hes
heeswijk-dinther	'hes-wE+k-'dIn-t@r
heeze	'he-z@
heeze-leende	'he-z@-'len-d@
heijen	'hE+-j@
heijningen	'hE+-nI-N@
heiligerlee	hE+-lI-G@r-'le
heiloo	hE+-'lo
heinenoord	'hE+-n@n-ort
heinkenszand	hE+N-k@-'sAnt
heino	'hE+-no
helden	'hEl-d@
hellendoorn	'hE-l@n-dorn
hellevoetsluis	hE-l@-vut-'slY+s
helmond	'hEl-mOnt
helvoirt	'hEl-vort
hendrik-ido-ambacht	'hEn-drIk-'i-do-'Am-bAxt
hengelo	'hE-N@-lo
hensbroek	'hEnz-bruk
herkenbosch	'hEr-k@m-bOs
herten	'hEr-t@
herwen	'hEr-w@
herwijnen	'hEr-wE+-n@
heteren	'he-t@-r@
heukelum	'h2-k@-lYm
heumen	'h2-m@
heusden	'h2z-d@
heythuysen	'hE+t-hY+-z@
hierden	'hir-d@
hillegom	'hI-l@-GOm
hilvarenbeek	hIl-va-r@m-'bek
hilversum	'hIl-v@r-sYm
hintham	'hInt-hAm
hoek	'huk
hoensbroek	'hunz-bruk
hoevelaken	'hu-v@-la-k@
hoeven	'hu-v@
hollandscheveld	hO-lAnt-s@-'vElt
hollum	'hO-lYm
holten	'hOl-t@
holwerd	'hOl-w@rt
hoofddorp	'hov-dOrp
hoogerheide	ho-G@r-'hE+-d@
hoogersmilde	ho-G@r-'smIl-d@
hoogeveen	ho-G@-'ven
hoogezand	ho-G@-'zAnt
hoogezand-sappemeer	ho-G@-'zAnt-sA-p@-'mer
hoogkarspel	hox-'kArs-p@l
hoogland	'hoG-lAnt
hooglanderveen	hox-lAn-d@r-'ven
hoogmade	hox-'ma-d@
hoogvliet	'hox-flit
hoogwoud	'hox-wA+t
hoorn	'horn
hoornaar	'hor-nar
horn	'hOrn
horssen	'hOr-s@
horst	'hOrst
hout	'hA+t
houten	'hA+-t@
houthem	'hA+-t@m
huissen	'hy-s@
huizen	'hY+-z@
hulsberg	'hYlz-bErx
hulst	'hYlst
ijhorst	'E+-hOrst
ijmuiden	E+-'mY+-d@
ijsselstein	'E+-s@l-stE+n
ilpendam	Il-p@-'dAm
joure	'jA+-r@
jubbega	'jY-b@-Ga
kaatsheuvel	'kats-h2-v@l
kampen	'kAm-p@
kamperland	'kAm-p@r-lAnt
kapelle	ka-'pE-l@
katwijk	'kAt-wE+k
kerkdriel	kErg-'dril
kerkrade	'kErk-ra-d@
kessel	'kE-s@l
kesteren	'kEs-t@-r@
klazienaveen	kla-zi-na-'ven
klimmen	'klI-m@
kloetinge	'klu-tI-N@
kloosterzande	klos-t@r-'zAn-d@
klundert	'klYn-d@rt
knegsel	'knEx-s@l
koedijk	'ku-dE+k
kollum	'kO-lYm
kollumerzwaag	kO-lY-m@r-'zwax
kootstertille	'kot-st@r-tI-l@
kootwijkerbroek	kot-wE+-k@r-'bruk
korendijk	'ko-r@n-dE+k
kortenhoef	kOr-t@-'huf
kortgene	kOrt-'xe-n@
koudekerke	'kA+-d@-kEr-k@
krabbendijke	krA-b@-'dE+-k@
krommenie	krO-m@-'ni
kruiningen	'krY+-nI-N@
kruisland	'krY+s-lAnt
kudelstaart	'ky-d@l-start
laak	'lak
laarbeek	'lar-bek
landerd	'lAn-d@rt
landgraaf	'lAnt-xraf
landsmeer	lAnts-'mer
langedijk	'lA-N@-dE+k
langenboom	'lA-N@-bom
langeveen	'lA-N@-ven
laren	'la-r@
leek	'lek
leende	'len-d@
leens	'lens
leerdam	ler-'dAm
leersum	'ler-sYm
leeuwarden	le-'wAr-d@
leeuwarderadeel	le-wAr-d@-ra-'del
leiden	'lE+-d@
leiderdorp	lE+-d@r-'dOrp
leidschendam	lE+t-s@n-'dAm
leimuiden	lE+-'mY+-d@
lekkerkerk	'lE-k@r-kErk
lelystad	'le-li-stAt
lemele	'le-m@-l@
lemelerveld	le-m@-l@r-'vElt
lemiers	l@-'mirs
lemmer	'lE-m@r
lent	'lEnt
leudal	'l2-dAl
leunen	'l2-n@
leur	'l2r
leusden	'l2z-d@
leuth	'l2t
lewedorp	'le-w@-dOrp
lexmond	'lEks-mOnt
lichtenvoorde	'lIx-t@-vor-d@
liempde	'limb-d@
lienden	'lin-d@
lierop	'li-rOp
lieshout	'lis-hA+t
limburg	'lIm-bYrx
limmen	'lI-m@
lindenholt	'lIn-d@-hOlt
lingewaal	'lI-N@-wal
linne	'lI-n@
linschoten	'lIn-sxo-t@
lisse	'lI-s@
lobith	'lo-bIt
lochem	'lO-x@m
loenen	'lu-n@
loo	'lo
loon	'lon
loosdrecht	'loz-drExt
loosduinen	loz-'dY+-n@
lopik	'lo-pIk
loppersum	'lO-p@r-sYm
losser	'lO-s@r
lunteren	'lYn-t@-r@
lutjebroek	'lY-tj@-bruk
luyksgestel	lY+ks-'xEs-t@l
maarheeze	mar-'he-z@
maarn	'marn
maarssen	'mar-s@
maartensdijk	mar-t@nz-'dE+k
maasbracht	maz-'brAxt
maasbree	maz-'bre
maasdam	maz-'dAm
maasdonk	maz-'dOnk
maasdriel	maz-'dril
maasland	'mas-lAnt
maasniel	mas-'nil
maassluis	ma-'slY+s
maastricht	mas-'trIxt
made	'ma-d@
malden	'mAl-d@
mantgum	'mAnt-xYm
margraten	'mAr-Gra-t@
mariaparochie	ma-'ri-ja-pa-rO-xi
markelo	'mAr-k@-lo
marken	'mAr-k@
marknesse	mArk-'nE-s@
marrum	'mA-rYm
marssum	'mAr-sYm
marum	'ma-rYm
maurik	'mA+-rIk
meddo	'mE-do
medemblik	'me-d@m-blIk
meerkerk	'mer-kErk
meerssen	'mer-s@
meerveldhoven	'mer-vElt-ho-v@
meeuwen	'me-w@
melick	'me-lIk
menaldum	me-'nAl-dYm
menaldumadeel	me-'nAl-dy-ma-'del
menterwolde	mEn-t@r-'wOl-d@
meppel	'mE-p@l
meteren	'me-t@-r@
mheer	'mer
middelburg	'mI-d@l-bYrx
middelharnis	mI-d@l-'hAr-nIs
middelstum	'mI-d@l-stYm
middenbeemster	mI-d@-'bem-st@r
midwolda	mIt-'wOl-da
midwoud	'mIt-wA+t
mierlo	'mir-lo
mijdrecht	'mE+-drExt
mijnsheerenland	'mE+ns-he-r@-'lAnt
mill	'mIl
milsbeek	'mIlz-bek
minnertsga	'mI-n@rts-xa
moerdijk	'mur-dE+k
moergestel	mur-'GEs-t@l
moerkapelle	mur-kA-'pE-l@
molenhoek	'mo-l@-huk
monnickendam	mO-nI-k@-'dAm
monster	'mOn-st@r
montferland	'mOnt-f@r-lAnt
montfoort	'mOnt-fort
montfort	'mOnt-fOrt
mook	'mok
moordrecht	'mor-drExt
muiden	'mY+-d@
muiderberg	mY+-d@r-'bErx
munstergeleen	mYn-st@r-G@-'len
muntendam	mYn-t@-'dAm
musselkanaal	'mY-s@l-ka-nal
naaldwijk	'nalt-wE+k
naarden	'nar-d@
nederhemert	ne-d@r-'he-m@rt
nederlek	'ne-d@r-lEk
nederweert	ne-d@r-'wert
neede	'ne-d@
neer	'ner
neerijnen	ne-'rE+-n@
nes	'nEs
nibbixwoud	nI-bIks-'wA+t
niekerk	'ni-kErk
nieuw-beijerland	niw-'bE+-j@r-lAnt
nieuw-buinen	niw-'bY+-n@
nieuw-lekkerland	niw-'lE-k@r-lAnt
nieuw-vossemeer	niw-vO-s@-'mer
nieuwegein	ni-w@-'GE+n
nieuwehorne	ni-w@-'hOr-n@
nieuwendijk	'ni-w@-dE+k
nieuwenhagen	'ni-w@-ha-G@
nieuwerbrug	ni-w@r-'brYx
nieuwerkerk	'ni-w@r-kErk
nieuweschans	ni-w@-'sxAns
nieuwkoop	'niw-kop
nieuwleusen	niw-'l2-z@
nieuwstadt	'niw-stAt
nieuwveen	'niw-ven
nijeveen	'nE+-j@-ven
nijkerk	'nE+-kErk
nijkerkerveen	nE+-kEr-k@r-'ven
nijmegen	'nE+-me-G@
nijverdal	'nE+-v@r-dAl
nistelrode	'nIs-t@l-ro-d@
noorbeek	'nor-bek
noord	'nort
noord-beveland	nord-'be-v@-lAnt
noord-brabant	nord-'bra-bAnt
noord-holland	nort-'hO-lAnt
noord-scharwoude	nort-sxAr-'wA+-d@
noordbeemster	nord-'bem-st@r
noordbergum	nord-'bEr-GYm
noordbroek	'nord-bruk
noordoost	nord-'ost
noordoostpolder	nort-'ost-pOl-d@r
noordwest	nord-'wEst
noordwijk	'nord-wE+k
noordwijkerhout	nort-wE+-k@r-'hA+t
noordwolde	nord-'wOl-d@
nootdorp	'no-dOrp
norg	'nOrx
nuenen	'ny-n@
nuland	'ny-lAnt
numansdorp	'ny-mAnz-dOrp
nunspeet	'nYn-spet
nuth	'nYt
obdam	Ob-'dAm
ochten	'Ox-t@
odijk	'o-dE+k
odiliapeel	o-'di-li-ja-pel
oegstgeest	uxst-'xest
oirsbeek	'orz-bek
oirschot	'or-sxOt
oisterwijk	'os-t@r-wE+k
oldebroek	'Ol-d@-bruk
oldeholtpade	'Ol-d@-hOlt-pa-d@
oldenzaal	'Ol-d@-zal
olst	'Olst
ommel	'O-m@l
ommen	'O-m@
onderbanken	'On-d@r-bAN-k@
onstwedde	Onst-'wE-d@
ooij	'oj
oost	'ost
oost-souburg	ost-'su-bYrx
oost-vlieland	ost-'vli-lAnt
oostburg	'osd-bYrx
oosterbeek	'os-t@r-bek
oosterend	'os-t@-r@nt
oosterhout	'os-t@r-hA+t
oosterwolde	os-t@r-'wOl-d@
oosthuizen	ost-'hY+-z@
oostkapelle	ost-kA-'pE-l@
oostrum	'os-trYm
ooststellingwerf	'ost-stE-lIN-'wErf
oostvoorne	ost-'for-n@
oostzaan	ost-'san
ootmarsum	ot-'mAr-sYm
opeinde	Op-'E+n-d@
opende	'o-p@n-d@
opheusden	Op-'h2z-d@
oploo	'Op-lo
opmeer	Op-'mer
opsterland	'Op-st@r-lAnt
oranjestad	'o-rA-J@s-tAt
ospel	'Os-p@l
oss	'Os
ossendrecht	'O-s@-drExt
oterleek	'o-t@r-lek
ottersum	'O-t@r-sYm
oud-beijerland	A+d-'bE+-j@r-lAnt
ouddorp	'A+-dOrp
oudega	'A+-d@-Ga
oudehaske	'A+-d@-hAs-k@
oudemirdum	'A+-d@-mIr-dYm
oudenbosch	A+-d@m-'bOs
ouder-amstel	A+-d@r-'Am-st@l
ouderkerk	'A+-d@r-kErk
oudeschild	'A+-d@-sxIlt
oudeschoot	'A+-d@-sxot
oudewater	'A+-d@-wa-t@r
oudorp	'A+-dOrp
overdinkel	'o-v@r-dIN-k@l
overijssel	o-v@r-'E+-s@l
overloon	o-v@r-'lon
overvecht	'o-v@r-vExt
overveen	o-v@r-'ven
pannerden	'pA-n@r-d@
panningen	'pA-nI-N@
papendrecht	'pa-p@-drExt
paterswolde	pa-t@rs-'wOl-d@
peize	'pE+-z@
pekela	'pe-k@-la
pernis	pEr-'nIs
petten	'pE-t@
piershil	'pirs-hIl
pijnacker	'pE+n-A-k@r
poortugaal	'por-ty-GAl
posterholt	'pOs-t@r-hOlt
prinsenbeek	prIn-s@-'bek
purmerend	pYr-m@-'rEnt
puth	'pYt
putte	'pY-t@
putten	'pY-t@
puttershoek	pY-t@rs-'huk
raalte	'ral-t@
raamsdonksveer	ramz-dONks-'fer
ransdaal	'rAnz-dal
reimerswaal	rE+-m@rs-'wal
renkum	'rEN-kYm
renswoude	rEns-'wA+-d@
reusel	'r2-z@l
reutum	'r2-tYm
reuver	'r2-v@r
rheden	're-d@
rhenen	're-n@
rhoon	'ron
ridderkerk	'rI-d@r-kErk
riel	'ril
riethoven	'rit-ho-v@
rijen	'rE+-j@
rijnsburg	'rE+nz-bYrx
rijnwaarden	'rE+n-war-d@
rijsbergen	'rE+z-bEr-G@
rijssen	'rE+-s@
rijswijk	'rE+s-wE+k
rilland	'rI-lAnt
rockanje	ro-'kA-J@
roden	'ro-d@
roelofarendsveen	ru-lOf-a-r@nts-'fen
roerdalen	'rur-da-l@
roermond	rur-'mOnt
roggel	'rO-G@l
rolde	'rOl-d@
roosendaal	'ro-z@-dal
rosmalen	rOs-'ma-l@
rossum	'rO-sYm
rotterdam	rO-t@r-'dAm
rouveen	rA+-'ven
rozenburg	'ro-z@m-bYrx
rozendaal	'ro-z@-dal
rucphen	'rYk-f@
ruinen	'rY+-n@
ruinerwold	rY+-n@r-'wOlt
ruurlo	'ryr-lo
saba	'sa-ba
sappemeer	sA-p@-'mer
sassenheim	'sA-s@-hE+m
sauwerd	'sA+-w@rt
schaesberg	'sxaz-bErx
schagen	'sxa-G@
schagerbrug	sxa-G@r-'brYx
schaijk	'sxAjk
schalkhaar	'sxAlk-har
scheemda	'sxem-da
schermer	'sxEr-m@r
schermerhorn	'sxEr-m@r-hOrn
scherpenzeel	'sxEr-p@-zel
scheveningen	'sxe-v@-nI-N@
schiedam	sxi-'dAm
schiermonnikoog	sxir-mO-n@k-'ox
schijndel	'sxE+n-d@l
schimmert	'sxI-m@rt
schinnen	'sxI-n@
schinveld	'sxIn-vElt
schipluiden	sxIp-'lY+-d@
schollevaar	'sxO-l@-var
schoonhoven	'sxon-ho-v@
schoonoord	'sxon-ort
schoorl	'sxorl
schouwen-duiveland	'sxA+-w@-'dY+-v@-lAnt
sellingen	'sE-lI-N@
serooskerke	'se-ros-kEr-k@
sevenum	'se-v@-nYm
sexbierum	sEgz-'bi-rYm
sibbe	'sI-b@
siddeburen	sI-d@-'by-r@
siebengewald	'si-b@n-g@-wAlt
silvolde	sIl-'vOl-d@
simpelveld	'sIm-p@l-vElt
sint-annaland	sInt-'A-na-lAnt
sint-michielsgestel	sInt-'mi-xils-'xEs-t@l
sint-oedenrode	sInt-'u-d@-ro-d@
sintjohannesga	sInt-jo-'hA-n@s-xa
sittard	'sI-tArt
sleen	'slen
sleeuwijk	'sle-wE+k
sliedrecht	'sli-drExt
slochteren	'slOx-t@-r@
sloten	'slo-t@
sluis	'slY+s
smallingerland	smA-lI-N@r-'lAnt
smilde	'smIl-d@
sneek	'snek
soest	'sust
soesterberg	sus-t@r-'bErx
someren	'so-m@-r@
someren-eind	'so-m@-r@-'E+nt
son	'sO~
spaarndam	sparn-'dAm
spakenburg	'spa-k@m-bYrx
spanbroek	'spAm-bruk
spaubeek	'spA+-bek
spijkenisse	spE+-k@-'nI-s@
sprang-capelle	sprAN-ka-'pE-l@
sprundel	'sprYn-d@l
stadskanaal	stAts-kA-'nal
staphorst	'stAp-hOrst
steenbergen	'stem-bEr-G@
steenderen	'sten-d@-r@
steensel	'sten-s@l
steenwijk	'sten-wE+k
steggerda	'stE-G@r-da
stein	'stAjn
stiens	'stins
stolwijk	'stOl-wE+k
stompetoren	'stOm-p@-to-r@
stramproy	strAmp-'roj
strijbeek	'strE+-bek
strijen	'strE+-j@
surhuisterveen	'sYr-hY+s-t@r-'ven
susteren	'sYs-t@-r@
swalmen	'swAl-m@
swifterbant	'swIf-t@r-bAnt
tegelen	'te-G@-l@
terborg	tEr-'bOrx
terheijden	tEr-'hE+-d@
ternaard	tEr-'nart
terneuzen	tEr-'n2-z@
terschelling	tEr-'sxE-lIN
terschuur	tEr-'sxyr
teteringen	'te-t@-rI-N@
texel	'tE-s@l
tholen	'to-l@
tiel	'til
tienray	'tin-raj
tietjerksteradeel	'ti-tjErk-st@-ra-'del
tilburg	'tIl-bYrx
tolbert	'tOl-b@rt
tubbergen	'tY-bEr-G@
tuitjenhorn	'tY+-tj@n-hOrn
twello	'twE-lo
twijzelerheide	twE+-z@-l@r-'hE+-d@
tynaarlo	tE+-'nar-lo
tzum	'tsYm
tzummarum	tsY-'ma-rYm
ubbena	'Y-b@-na
ubbergen	'Y-bEr-G@
uden	'y-d@
udenhout	'y-d@-hA+t
ugchelen	'Y-x@-l@
uitgeest	Y+t-'xest
uithoorn	Y+t-'horn
uithuizen	'Y+t-hY+-z@
uithuizermeeden	'Y+t-hY+-z@r-'me-d@
ulestraten	'y-l@-stra-t@
ulft	'Ylft
ulrum	'Yl-rYm
ulvenhout	'Yl-v@-hA+t
ureterp	'y-r@-tErp
urk	'Yrk
urmond	'Yr-mOnt
ursem	'Yr-s@m
utrecht	'y-trExt
vaals	'vals
vaassen	'va-s@
valkenburg	'vAl-k@m-bYrx
valkenswaard	vAl-k@ns-'wart
valthermond	vAl-t@r-'mOnt
varsseveld	'vAr-s@-vElt
veen	'ven
veendam	ven-'dAm
veenendaal	've-n@-dal
veenwouden	ven-'wA+-d@
veere	've-r@
veghel	'vE-x@l
velden	'vEl-d@
veldhoven	'vElt-ho-v@
velp	'vElp
velsen	'vEl-z@
velsen-noord	vEl-z@-'nort
